t,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
2.72000000e-01,2.44366798e+07,2.28244697e+07,2.12800279e+07,1.97691786e+07,1.82676513e+07,1.68002432e+07,1.54453432e+07,1.42711272e+07,1.32428129e+07,1.22070339e+07,1.10201977e+07,9.72551231e+06,8.55197168e+06,7.63842446e+06,6.77323799e+06,5.61403109e+06,4.26042061e+06,3.16587373e+06,2.11947048e+06,7.10270297e+05
2.80000000e-01,2.49656554e+07,2.32694744e+07,2.16662778e+07,2.01313402e+07,1.86254466e+07,1.71433719e+07,1.57437184e+07,1.45036469e+07,1.34183942e+07,1.23554824e+07,1.11600256e+07,9.84438530e+06,8.62649684e+06,7.67166466e+06,6.79633831e+06,5.64198196e+06,4.27113269e+06,3.14882232e+06,2.10355274e+06,7.06596748e+05
2.88000000e-01,2.54686909e+07,2.36912027e+07,2.20317235e+07,2.04756305e+07,1.89693621e+07,1.74769068e+07,1.60348223e+07,1.47276182e+07,1.35821458e+07,1.24913367e+07,1.12922049e+07,9.96388890e+06,8.70668815e+06,7.70849701e+06,6.81724587e+06,5.66449065e+06,4.27697863e+06,3.12818816e+06,2.08527539e+06,7.02385102e+05
2.96000000e-01,2.59434267e+07,2.40902369e+07,2.23783416e+07,2.08032885e+07,1.92986083e+07,1.77984856e+07,1.63164509e+07,1.49425068e+07,1.37352640e+07,1.26162293e+07,1.14174081e+07,1.00833858e+07,8.79129558e+06,7.74791447e+06,6.83557343e+06,5.68180990e+06,4.27876166e+06,3.10499135e+06,2.06532289e+06,6.97777112e+05
3.04000000e-01,2.63880491e+07,2.44671489e+07,2.27077339e+07,2.11151041e+07,1.96121195e+07,1.81057559e+07,1.65866765e+07,1.51482167e+07,1.38793854e+07,1.27320442e+07,1.15362182e+07,1.02018139e+07,8.87852126e+06,7.78854940e+06,6.85096036e+06,5.69457301e+06,4.27781252e+06,3.08069922e+06,2.04461422e+06,6.92957483e+05
3.12000000e-01,2.68012568e+07,2.48224484e+07,2.30211057e+07,2.14114758e+07,1.99086906e+07,1.83965167e+07,1.68438887e+07,1.53449755e+07,1.40163659e+07,1.28407186e+07,1.16490819e+07,1.03178264e+07,8.96626779e+06,7.82888664e+06,6.86312978e+06,5.70366206e+06,4.27573535e+06,3.05697314e+06,2.02415652e+06,6.88125563e+05
3.20000000e-01,2.71821841e+07,2.51565407e+07,2.33192832e+07,2.16925070e+07,2.01871269e+07,1.86688419e+07,1.70868000e+07,1.55331875e+07,1.41480448e+07,1.29440541e+07,1.17562863e+07,1.04299572e+07,9.05240086e+06,7.86747546e+06,6.87193250e+06,5.71005916e+06,4.27413993e+06,3.03540843e+06,2.00489661e+06,6.83466863e+05
3.28000000e-01,2.75303121e+07,2.54696941e+07,2.36027498e+07,2.19581113e+07,2.04463811e+07,1.89211757e+07,1.73144285e+07,1.57132862e+07,1.42760337e+07,1.30435602e+07,1.18579561e+07,1.05367825e+07,9.13498721e+06,7.90311082e+06,6.87737310e+06,5.71470356e+06,4.27440027e+06,3.01730527e+06,1.98759203e+06,6.79128495e+05
3.36000000e-01,2.78453895e+07,2.57620216e+07,2.38716870e+07,2.22081021e+07,2.06856573e+07,1.91523971e+07,1.75260716e+07,1.58856127e+07,1.44015536e+07,1.31403434e+07,1.19540660e+07,1.06370560e+07,9.21247785e+06,7.93496299e+06,6.87961712e+06,5.71837481e+06,4.27747145e+06,3.00350075e+06,1.97271828e+06,6.75201701e+05
3.44000000e-01,2.81273775e+07,2.60334732e+07,2.41260100e+07,2.24422539e+07,2.09044732e+07,1.93618488e+07,1.77212803e+07,1.60503357e+07,1.45253385e+07,1.32350493e+07,1.20444610e+07,1.07298006e+07,9.28381840e+06,7.96264422e+06,6.87898107e+06,5.72161585e+06,4.28378499e+06,2.99427978e+06,1.96042199e+06,6.71713293e+05
