t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
2.80000000e-01,0.00000000e+00,5.96983348e-23,1.17354426e-22,1.71169920e-22,2.19852407e-22,2.62894600e-22,3.00834597e-22,3.35417971e-22,3.69544130e-22,4.06865738e-22,4.50947795e-22,5.04012829e-22,5.65525348e-22,6.31199286e-22,6.93371498e-22,7.43843727e-22,7.79730716e-22,8.10503673e-22,8.58300991e-22,9.30156555e-22,9.86412409e-22
2.88000000e-01,0.00000000e+00,5.85961973e-23,1.15385628e-22,1.68723807e-22,2.17330489e-22,2.60548614e-22,2.98635855e-22,3.33010572e-22,3.66320947e-22,4.02175184e-22,4.44391942e-22,4.95741114e-22,5.56380887e-22,6.22567347e-22,6.86652917e-22,7.39667110e-22,7.77320376e-22,8.07901557e-22,8.53968403e-22,9.24810515e-22,9.81301318e-22
2.96000000e-01,0.00000000e+00,5.71087363e-23,1.12738968e-22,1.65478304e-22,2.14108506e-22,2.57832466e-22,2.96589636e-22,3.31385731e-22,3.64494955e-22,3.99343368e-22,4.39883685e-22,4.89368969e-22,5.48671988e-22,6.14703270e-22,6.80003433e-22,7.34992651e-22,7.74045215e-22,8.04199066e-22,8.48299934e-22,9.17879339e-22,9.74496832e-22
3.04000000e-01,0.00000000e+00,5.52855497e-23,1.09499760e-22,1.61530587e-22,2.10268491e-22,2.54790732e-22,2.94692042e-22,3.30494692e-22,3.63989478e-22,3.98290063e-22,4.37362254e-22,4.84868103e-22,5.42401126e-22,6.07625772e-22,6.73439396e-22,7.29823319e-22,7.69898827e-22,7.99395798e-22,8.41313871e-22,9.09398392e-22,9.66039965e-22
3.12000000e-01,0.00000000e+00,5.31692184e-23,1.05736524e-22,1.56946364e-22,2.05840412e-22,2.51389932e-22,2.92832013e-22,3.30153144e-22,3.64569509e-22,3.98764657e-22,4.36599313e-22,4.82062455e-22,5.37459070e-22,6.01290607e-22,6.66969947e-22,7.24211363e-22,7.64975966e-22,7.93636223e-22,8.33206775e-22,8.99602564e-22,9.56178617e-22
3.20000000e-01,0.00000000e+00,5.08021342e-23,1.01515007e-22,1.51781600e-22,2.00832000e-22,2.47556362e-22,2.90836213e-22,3.30091243e-22,3.65894023e-22,4.00397201e-22,4.37244922e-22,4.80665452e-22,5.33650448e-22,5.95602392e-22,6.60594085e-22,7.18240593e-22,7.59440954e-22,7.87166018e-22,8.24300365e-22,8.88867146e-22,9.45306364e-22
3.28000000e-01,0.00000000e+00,4.82339900e-23,9.69135843e-23,1.46106500e-22,1.95261840e-22,2.43218278e-22,2.88519405e-22,3.30010170e-22,3.67575573e-22,4.02757061e-22,4.38880840e-22,4.80323694e-22,5.30724214e-22,5.90429258e-22,6.54298128e-22,7.12006517e-22,7.53491506e-22,7.80281670e-22,8.14980047e-22,8.77639280e-22,9.33891488e-22
3.36000000e-01,0.00000000e+00,4.55278562e-23,9.20359853e-23,1.40025794e-22,1.89188109e-22,2.38343505e-22,2.85730458e-22,3.29634869e-22,3.69236925e-22,4.05409606e-22,4.41072883e-22,4.80660605e-22,5.28404782e-22,5.85618670e-22,6.48054663e-22,7.05598125e-22,7.47324284e-22,7.73281855e-22,8.05635204e-22,8.66371200e-22,9.22407791e-22
3.44000000e-01,0.00000000e+00,4.27633202e-23,8.70183103e-23,1.33690901e-22,1.82727277e-22,2.32965707e-22,2.82386394e-22,3.28754970e-22,3.70556696e-22,4.07963347e-22,4.43415657e-22,4.81314735e-22,5.26420285e-22,5.81012923e-22,6.41823661e-22,6.99084223e-22,7.41107136e-22,7.66427317e-22,7.96609402e-22,8.55464235e-22,9.11276468e-22
3.52000000e-01,0.00000000e+00,4.00359067e-23,8.20287884e-23,1.27301628e-22,1.76059650e-22,2.27195490e-22,2.78490084e-22,3.27249075e-22,3.71299025e-22,4.10102669e-22,4.45565278e-22,4.81969101e-22,5.24525427e-22,5.76463058e-22,6.35555976e-22,6.92505979e-22,7.34961100e-22,7.59913549e-22,7.88165708e-22,8.45229410e-22,9.00825074e-22
3.60000000e-01,0.00000000e+00,3.74527823e-23,7.72602265e-23,1.21097242e-22,1.69421400e-22,2.21215686e-22,2.74130599e-22,3.25091060e-22,3.71325623e-22,4.11604355e-22,4.47258246e-22,4.82369881e-22,5.22517551e-22,5.71840332e-22,6.29198916e-22,6.85876051e-22,7.28953181e-22,7.53857847e-22,7.80469181e-22,8.35866974e-22,8.91266036e-22
3.68000000e-01,0.00000000e+00,3.51254274e-23,7.29164500e-23,1.15338685e-22,1.63085124e-22,2.15262969e-22,2.69468236e-22,3.22340165e-22,3.70591602e-22,4.12338811e-22,4.48316922e-22,4.82334529e-22,5.20245670e-22,5.67044709e-22,6.22703206e-22,6.79183496e-22,7.23099035e-22,7.48299901e-22,7.73585697e-22,8.27464035e-22,8.82693854e-22
3.76000000e-01,0.00000000e+00,3.31604517e-23,6.91949878e-23,1.10285081e-22,1.57332754e-22,2.09599972e-22,2.64708498e-22,3.19118942e-22,3.69128709e-22,4.12259050e-22,4.48643940e-22,4.81750779e-22,5.17613075e-22,5.62010187e-22,6.16030377e-22,6.72402798e-22,7.17373331e-22,7.43213156e-22,7.67493981e-22,8.20006962e-22,8.75097631e-22
3.84000000e-01,0.00000000e+00,3.16499659e-23,6.62687313e-23,1.06168408e-22,1.52425541e-22,2.04483209e-22,2.60070535e-22,3.15584463e-22,3.67020960e-22,4.11381713e-22,4.48208936e-22,4.80568932e-22,5.14574797e-22,5.56707047e-22,6.09159531e-22,6.65504895e-22,7.11724695e-22,7.38523094e-22,7.62106417e-22,8.13403752e-22,8.68383961e-22
3.92000000e-01,0.00000000e+00,3.06629133e-23,6.42692830e-23,1.03170170e-22,1.48575872e-22,2.00132155e-22,2.55755700e-22,3.11898404e-22,3.64377945e-22,4.09764787e-22,4.47031380e-22,4.78790130e-22,5.11131446e-22,5.51141332e-22,6.02092520e-22,6.58468054e-22,7.06091989e-22,7.34128266e-22,7.57293752e-22,8.07511047e-22,8.62404728e-22
4.00000000e-01,0.00000000e+00,3.02385306e-23,6.32742695e-23,1.01403336e-22,1.45924958e-22,1.96704091e-22,2.51921132e-22,3.08200952e-22,3.61310500e-22,4.07486221e-22,4.45163011e-22,4.76453223e-22,5.07320986e-22,5.45351964e-22,5.94856803e-22,6.51286706e-22,7.00419034e-22,7.29920282e-22,7.52909243e-22,8.02160926e-22,8.56984814e-22
4.08000000e-01,0.00000000e+00,3.03827268e-23,6.33001580e-23,1.00901758e-22,1.44529182e-22,1.94277941e-22,2.48661851e-22,3.04592110e-22,3.57912221e-22,4.04626627e-22,4.42672578e-22,4.73622310e-22,5.03209782e-22,5.39405997e-22,5.87505579e-22,6.43976959e-22,6.94665623e-22,7.25799907e-22,7.48808832e-22,7.97183700e-22,8.51945795e-22
4.16000000e-01,0.00000000e+00,3.10677087e-23,6.43012316e-23,1.01618036e-22,1.44356380e-22,1.92848626e-22,2.46003115e-22,3.01122268e-22,3.54248750e-22,4.01257914e-22,4.39634565e-22,4.70376332e-22,4.98883893e-22,5.33392494e-22,5.80115138e-22,6.36578165e-22,6.88813666e-22,7.21687590e-22,7.44865280e-22,7.92424406e-22,8.47123248e-22
4.24000000e-01,0.00000000e+00,3.22347296e-23,6.61745033e-23,1.03429577e-22,1.45291809e-22,1.92331776e-22,2.43902999e-22,2.97792195e-22,3.50355121e-22,3.97438316e-22,4.36122469e-22,4.66801343e-22,4.94441202e-22,5.27415518e-22,5.72779744e-22,6.29150605e-22,6.82868268e-22,7.17527997e-22,7.40975635e-22,7.87752222e-22,8.42376851e-22
4.32000000e-01,0.00000000e+00,3.37994511e-23,6.87696062e-23,1.06151518e-22,1.47152261e-22,1.92577200e-22,2.42263673e-22,2.94561091e-22,3.46240126e-22,3.93213095e-22,4.32206248e-22,4.62985387e-22,4.89984616e-22,5.21586668e-22,5.65604615e-22,6.21769962e-22,6.76854426e-22,7.13289196e-22,7.37062634e-22,7.83063377e-22,8.37593827e-22
4.40000000e-01,0.00000000e+00,3.56591433e-23,7.19021801e-23,1.09554477e-22,1.49705908e-22,1.93388489e-22,2.40948786e-22,2.91360331e-22,3.41895656e-22,3.88619332e-22,4.27952878e-22,4.59015451e-22,4.85616269e-22,5.16017561e-22,5.58697791e-22,6.14519622e-22,6.70810602e-22,7.08957900e-22,7.33071542e-22,7.78279108e-22,8.32687293e-22
4.48000000e-01,0.00000000e+00,3.77008146e-23,7.53690232e-23,1.13384730e-22,1.52694987e-22,1.94545658e-22,2.39803846e-22,2.88109986e-22,3.37308503e-22,3.83692795e-22,4.23428583e-22,4.54975687e-22,4.81432553e-22,5.10812625e-22,5.52161721e-22,6.07482074e-22,6.64780739e-22,7.04532566e-22,7.28964369e-22,7.73340686e-22,8.27591585e-22
